block_number,log_count,skipped_by_bloom,ERC20_Transfer_bloom,ERC20_Transfer_actual,ERC20_Approval_bloom,ERC20_Approval_actual,UniV2_Swap_bloom,UniV2_Swap_actual,UniV3_Swap_bloom,UniV3_Swap_actual,UniV2_Sync_bloom,UniV2_Sync_actual,WETH_Deposit_bloom,WETH_Deposit_actual,WETH_Withdrawal_bloom,WETH_Withdrawal_actual,Synthetic_Absent_bloom,Synthetic_Absent_actual
25036244,1053,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036245,155,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036246,1275,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036247,812,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036248,509,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036249,790,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036250,493,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036251,897,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036252,645,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036253,591,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036254,623,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036255,800,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036256,714,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036257,601,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036258,559,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036259,623,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036260,702,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036261,467,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036262,631,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036263,798,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036264,13,false,true,true,true,true,false,false,false,false,false,false,true,true,true,true,false,false
25036265,1294,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036266,796,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036267,565,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
