label,method,poll_interval_ms,block_number,block_timestamp_unix,observed_at_unix_ms,abs_latency_ms
http_poll_blockNumber@1s,http_poll_blockNumber,1000,25043412,1778159939,1778159943477,4477.742
http_poll_blockNumber@1s,http_poll_blockNumber,1000,25043413,1778159951,1778159953469,2469.813
http_poll_blockNumber@1s,http_poll_blockNumber,1000,25043414,1778159963,1778159965487,2487.513
http_poll_blockNumber@1s,http_poll_blockNumber,1000,25043415,1778159975,1778159977487,2487.990
http_poll_blockNumber@1s,http_poll_blockNumber,1000,25043416,1778159987,1778159990471,3471.821
http_poll_blockNumber@1s,http_poll_blockNumber,1000,25043417,1778159999,1778160001481,2481.847
http_poll_blockNumber@1s,http_poll_blockNumber,1000,25043418,1778160011,1778160015492,4492.073
http_poll_blockNumber@1s,http_poll_blockNumber,1000,25043419,1778160023,1778160025481,2481.671
http_poll_blockNumber@1s,http_poll_blockNumber,1000,25043420,1778160035,1778160038472,3472.505
http_poll_blockNumber@1s,http_poll_blockNumber,1000,25043421,1778160047,1778160050467,3467.706
http_poll_blockNumber@1s,http_poll_blockNumber,1000,25043422,1778160059,1778160063481,4481.133
http_poll_blockNumber@1s,http_poll_blockNumber,1000,25043423,1778160071,1778160073474,2474.363
http_poll_blockNumber@1s,http_poll_blockNumber,1000,25043424,1778160083,1778160085468,2468.533
http_poll_blockNumber@1s,http_poll_blockNumber,1000,25043425,1778160095,1778160097472,2472.434
http_poll_blockNumber@1s,http_poll_blockNumber,1000,25043426,1778160107,1778160109470,2470.710
http_poll_blockNumber@1s,http_poll_blockNumber,1000,25043427,1778160119,1778160121486,2486.489
http_poll_blockNumber@1s,http_poll_blockNumber,1000,25043428,1778160131,1778160133468,2468.543
http_poll_blockNumber@1s,http_poll_blockNumber,1000,25043429,1778160143,1778160145467,2467.189
http_poll_blockNumber@1s,http_poll_blockNumber,1000,25043430,1778160155,1778160157475,2475.011
http_poll_blockNumber@1s,http_poll_blockNumber,1000,25043431,1778160167,1778160169472,2472.759
http_poll_blockNumber@1s,http_poll_blockNumber,1000,25043432,1778160179,1778160182470,3470.375
http_poll_blockNumber@1s,http_poll_blockNumber,1000,25043433,1778160191,1778160194470,3470.213
http_poll_blockNumber@1s,http_poll_blockNumber,1000,25043434,1778160203,1778160205468,2468.823
http_poll_blockNumber@1s,http_poll_blockNumber,1000,25043435,1778160215,1778160220527,5527.346
http_poll_blockNumber@1s,http_poll_blockNumber,1000,25043436,1778160227,1778160229471,2471.758
http_poll_blockNumber@1s,http_poll_blockNumber,1000,25043437,1778160239,1778160242474,3474.180
http_poll_blockNumber@1s,http_poll_blockNumber,1000,25043438,1778160251,1778160254468,3468.531
http_poll_blockNumber@1s,http_poll_blockNumber,1000,25043439,1778160263,1778160265475,2475.710
http_poll_blockNumber@1s,http_poll_blockNumber,1000,25043440,1778160275,1778160277465,2465.303
http_poll_blockNumber@1s,http_poll_blockNumber,1000,25043441,1778160287,1778160289501,2501.203
http_poll_blockNumber@1s,http_poll_blockNumber,1000,25043442,1778160299,1778160301482,2482.629
http_poll_blockNumber@1s,http_poll_blockNumber,1000,25043443,1778160311,1778160313469,2469.126
http_poll_blockNumber@1s,http_poll_blockNumber,1000,25043444,1778160323,1778160325475,2475.358
http_poll_blockNumber@1s,http_poll_blockNumber,1000,25043445,1778160335,1778160337471,2471.254
http_poll_blockNumber@1s,http_poll_blockNumber,1000,25043446,1778160347,1778160349470,2470.111
http_poll_blockNumber@1s,http_poll_blockNumber,1000,25043447,1778160359,1778160361479,2479.605
http_poll_blockNumber@1s,http_poll_blockNumber,1000,25043448,1778160371,1778160373478,2478.974
http_poll_blockNumber@1s,http_poll_blockNumber,1000,25043449,1778160383,1778160385466,2466.819
http_poll_blockNumber@1s,http_poll_blockNumber,1000,25043450,1778160395,1778160397465,2465.831
http_poll_blockNumber@1s,http_poll_blockNumber,1000,25043451,1778160407,1778160409472,2472.519
http_poll_blockNumber@1s,http_poll_blockNumber,1000,25043452,1778160419,1778160421467,2467.075
http_poll_blockNumber@1s,http_poll_blockNumber,1000,25043453,1778160431,1778160433468,2468.165
http_poll_blockNumber@3s,http_poll_blockNumber,3000,25043404,1778159843,1778159845473,2473.744
http_poll_blockNumber@3s,http_poll_blockNumber,3000,25043405,1778159855,1778159857468,2468.151
http_poll_blockNumber@3s,http_poll_blockNumber,3000,25043406,1778159867,1778159869469,2469.079
http_poll_blockNumber@3s,http_poll_blockNumber,3000,25043407,1778159879,1778159881470,2470.778
http_poll_blockNumber@3s,http_poll_blockNumber,3000,25043408,1778159891,1778159893476,2476.837
